hierarchy,name,description
trucks > hooklifts & roll-offs,hooklifts & roll-offs,
trucks > livestock trailers,livestock trailers,
trucks > lowboy trailers,lowboy trailers,
trucks > minibuses,minibuses,
trucks > modular trailers & spmt,modular trailers & spmt,
trucks > pickup trucks,pickup trucks,
trucks > reefer trailers,reefer trailers,
trucks > reefer trucks,reefer trucks,
trucks > school buses,school buses,
trucks > septic/sewer/vacuum trucks,septic/sewer/vacuum trucks,
trucks > service & utility trucks,service & utility trucks,
trucks > swap bodies,swap bodies,
trucks > tanker trailers,tanker trailers,
trucks > tanker trucks,tanker trucks,
trucks > timber trucks,timber trucks,
trucks > tow trucks,tow trucks,
trucks > towable heaters,towable heaters,
trucks > trailers,trailers,
trucks > transit buses,transit buses,
trucks > truck engines,truck engines,
trucks > vans,vans,
trucks > winch trucks,winch trucks,
waste & recycling,waste & recycling,
waste & recycling > construction waste recycling,construction waste recycling,
waste & recycling > industrial balers,industrial balers,
waste & recycling > industrial shredders,industrial shredders,
waste & recycling > recycling & disposal,recycling & disposal,
waste & recycling > waste compactors,waste compactors,
waste & recycling > wastewater recycling,wastewater recycling,
woodworking,woodworking,
"woodworking > boring, dowel inserting, gluing","boring, dowel inserting, gluing",
woodworking > cnc wood routers,cnc wood routers,
woodworking > chainsaws,chainsaws,
woodworking > edgebanders,edgebanders,
woodworking > mortisers and tenoners,mortisers and tenoners,
woodworking > planers and moulders,planers and moulders,
woodworking > sanders,sanders,
woodworking > veneer machines,veneer machines,
woodworking > window production,window production,
woodworking > wood cnc machining centers,wood cnc machining centers,
woodworking > wood finishing equipment,wood finishing equipment,
woodworking > wood lathes,wood lathes,
woodworking > wood milling machines,wood milling machines,
woodworking > wood presses,wood presses,
woodworking > wood sawmills,wood sawmills,
woodworking > wood saws,wood saws,
other,other,
other > atv & utv,atv & utv,
other > audiovisual/broadcast,audiovisual/broadcast,
other > centrifugal pumps,centrifugal pumps,
other > floor scrubbers & sweepers,floor scrubbers & sweepers,
other > golf carts,golf carts,
other > positive displacement pumps,positive displacement pumps,
other > pressure washers,pressure washers,
other > rail machinery,rail machinery,
other > salt/sand spreaders,salt/sand spreaders,
other > snow blowers,snow blowers,
other > street sweepers,street sweepers,
other > stump grinders,stump grinders,
other > vacuum pumps,vacuum pumps,
other > water pumps,water pumps,
