hierarchy,name,description
other industries >  electronics industry >  test & measurement, test & measurement ,
other industries >  food industry, food industry  ,
other industries >  glass production, glass production  ,
other industries >  hotel and restaurant industry, hotel and restaurant industry  ,
other industries >  other industries, other industries  ,
other industries >  plastics processing, plastics processing  ,
other industries >  plastics processing >  blow moulding machines, blow moulding machines ,
other industries >  plastics processing >  injection moulding machines, injection moulding machines ,
other industries >  plastics processing >  injection moulds, injection moulds ,
other industries >  plastics processing >  plastics processing accessories, plastics processing accessories ,
other industries >  printing & paper industry, printing & paper industry  ,
other industries >  robotics, robotics  ,
other industries >  robotics >  industrial robots, industrial robots ,
other industries >  robotics >  robot components and parts, robot components and parts ,
other industries >  screw production, screw production  ,
other industries >  textile industry machinery, textile industry machinery  ,
