hierarchy,name,description
plastic - rubber,plastic - rubber ,
plastic - rubber > blowmoulding machines,blowmoulding machines ,
plastic - rubber > extrusion - single screw extruders,extrusion - single screw extruders ,
plastic - rubber > extrusion - twin screw extruders,extrusion - twin screw extruders ,
plastic - rubber > extrusion lines,extrusion lines ,
plastic - rubber > injection moulding machines,injection moulding machines ,
plastic - rubber > injection moulding machines (all electric),injection moulding machines (all electric) ,
plastic - rubber > others - plastic machines,others - plastic machines ,
plastic - rubber > plastic crushers / compactors,plastic crushers / compactors ,
plastic - rubber > recycling machines,recycling machines ,
plastic - rubber > robots for plastic injection,robots for plastic injection ,
plastic - rubber > rubber machinery,rubber machinery ,
plastic - rubber > saws for plastic,saws for plastic ,
plastic - rubber > thermoforming - automatic roll-fed machines,thermoforming - automatic roll-fed machines ,
plastic - rubber > thermoforming - sheet processing machines,thermoforming - sheet processing machines ,
printing machines,printing machines ,
printing machines > 3d printer,3d printer ,
printing machines > binding - gang stitchers / sewing machines,binding - gang stitchers / sewing machines ,
printing machines > binding - gatherers / collators,binding - gatherers / collators ,
printing machines > binding - perfect binders / thermal binders,binding - perfect binders / thermal binders ,
printing machines > binding - saddle stitchers,binding - saddle stitchers ,
printing machines > ctp computer to plate,ctp computer to plate ,
printing machines > carton and board converting machines,carton and board converting machines ,
printing machines > case making machines,case making machines ,
printing machines > die-cutters / embossers / hot foil,die-cutters / embossers / hot foil ,
printing machines > digital printing presses,digital printing presses ,
printing machines > envelopes - insertion / printing,envelopes - insertion / printing ,
printing machines > flexo printing machines,flexo printing machines ,
printing machines > folders - gluers / staplers / wire binders,folders - gluers / staplers / wire binders ,
printing machines > label printing machines,label printing machines ,
printing machines > laminators,laminators ,
printing machines > letterpresses - cylinders / platens,letterpresses - cylinders / platens ,
printing machines > offsets 1 colour,offsets 1 colour ,
printing machines > offsets 2 colours,offsets 2 colours ,
printing machines > offsets 4 colours,offsets 4 colours ,
printing machines > offsets 5 colours,offsets 5 colours ,
printing machines > offsets 6 colours,offsets 6 colours ,
printing machines > offsets 8 colours and more,offsets 8 colours and more ,
printing machines > others - post press machines,others - post press machines ,
printing machines > others - press and printing,others - press and printing ,
printing machines > paper and board machines - others,paper and board machines - others ,
printing machines > paper and board machines - sheeters / cut size,paper and board machines - sheeters / cut size ,
printing machines > paper and board machines - winders / rewinders / unwinders / slitters,paper and board machines - winders / rewinders / unwinders / slitters ,
printing machines > plotters - large format inkjet,plotters - large format inkjet ,
printing machines > screen printing equipment,screen printing equipment ,
printing machines > trimmers - guillotines / cutters,trimmers - guillotines / cutters ,
printing machines > trimmers - three knife,trimmers - three knife ,
printing machines > web continuous printing presses,web continuous printing presses ,
textile machines,textile machines ,
textile machines > complete plants/production units,complete plants/production units ,
textile machines > cutting - automated cutting machines,cutting - automated cutting machines ,
textile machines > cutting - spreading machines,cutting - spreading machines ,
textile machines > embroidery machines - large orders embroidery machines,embroidery machines - large orders embroidery machines ,
textile machines > embroidery machines - one head / multi-heads,embroidery machines - one head / multi-heads ,
textile machines > finishing - washing / steaming / ironing machines / folding machines,finishing - washing / steaming / ironing machines / folding machines ,
textile machines > finishing - dryers,finishing - dryers ,
textile machines > finishing - dyeing machines,finishing - dyeing machines ,
textile machines > finishing - shearing machines,finishing - shearing machines ,
textile machines > finishing - stenters,finishing - stenters ,
textile machines > knitting - circular knitting machines,knitting - circular knitting machines ,
textile machines > knitting - flat knitting machines,knitting - flat knitting machines ,
textile machines > knitting - knitting machines for socks / tights,knitting - knitting machines for socks / tights ,
textile machines > miscellaneous used textile machines,miscellaneous used textile machines ,
textile machines > printing - calenders,printing - calenders ,
textile machines > printing - rotary textile printers,printing - rotary textile printers ,
textile machines > printing - textile presses,printing - textile presses ,
textile machines > sewing machines / making - automatic machines,sewing machines / making - automatic machines ,
textile machines > special textile machines - equipments for non weaved textile,special textile machines - equipments for non weaved textile ,
textile machines > special textile machines - unrolling & inspection machines,special textile machines - unrolling & inspection machines ,
textile machines > spinning - carding machines,spinning - carding machines ,
textile machines > spinning - preparation,spinning - preparation ,
textile machines > spinning - spinning machines,spinning - spinning machines ,
textile machines > spinning - twisting / assembling,spinning - twisting / assembling ,
textile machines > spinning - winders,spinning - winders ,
textile machines > weaving - looms,weaving - looms ,
textile machines > weaving - looms with jacquard,weaving - looms with jacquard ,
textile machines > weaving - sectional warping machines,weaving - sectional warping machines ,
woodworking machines,woodworking machines ,
"woodworking machines > boring, drilling and dowel inserting machines","boring, drilling and dowel inserting machines ",
woodworking machines > briquetting machines,briquetting machines ,
woodworking machines > brushing machines,brushing machines ,
"woodworking machines > drying - kilns, ovens","drying - kilns, ovens ",
woodworking machines > dust collectors / exhausters,dust collectors / exhausters ,
woodworking machines > edgebanders - double sided,edgebanders - double sided ,
woodworking machines > edgebanders - single sided,edgebanders - single sided ,
woodworking machines > finger joint machines,finger joint machines ,
woodworking machines > gluing machines,gluing machines ,
woodworking machines > guillotines for veneer,guillotines for veneer ,
woodworking machines > miscellaneous wood machinery,miscellaneous wood machinery ,
woodworking machines > moulders - multihead,moulders - multihead ,
woodworking machines > moulders - spindle moulding machines,moulders - spindle moulding machines ,
woodworking machines > planing machines / jointers,planing machines / jointers ,
woodworking machines > routers,routers ,
woodworking machines > sanding - wide belt sanders,sanding - wide belt sanders ,
woodworking machines > sanding / grinding - others,sanding / grinding - others ,
woodworking machines > saws - band saws,saws - band saws ,
woodworking machines > saws - cross-cut optimizing saws,saws - cross-cut optimizing saws ,
woodworking machines > saws - multi-blade saws,saws - multi-blade saws ,
"woodworking machines > saws - other (mitre, cut off)","saws - other (mitre, cut off) ",
woodworking machines > saws - panel saws,saws - panel saws ,
woodworking machines > saws - sliding table saws,saws - sliding table saws ,
woodworking machines > spraying machines,spraying machines ,
woodworking machines > tenoning machines,tenoning machines ,
woodworking machines > wood cnc machining centres,wood cnc machining centres ,
woodworking machines > wood cnc machining centres - 5 axis,wood cnc machining centres - 5 axis ,
woodworking machines > wood cnc machining centres - doors and windows,wood cnc machining centres - doors and windows ,
woodworking machines > wood presses,wood presses ,
woodworking machines > wood chipping machines,wood chipping machines ,
woodworking machines > wood combined machines,wood combined machines ,
woodworking machines > wood lathes,wood lathes ,
woodworking machines > wood milling machines,wood milling machines ,
woodworking machines > woodworks plant and complete wood units,woodworks plant and complete wood units ,
"broadcast, film and audio","broadcast, film and audio ",
"broadcast, film and audio > audio equipment",audio equipment ,
"broadcast, film and audio > camera 4k",camera 4k ,
"broadcast, film and audio > camera 5k",camera 5k ,
"broadcast, film and audio > cameras",cameras ,
"broadcast, film and audio > displays and monitors",displays and monitors ,
"broadcast, film and audio > lenses",lenses ,
"broadcast, film and audio > other broadcast equipment, film & audio","other broadcast equipment, film & audio ",
"broadcast, film and audio > satellite equipment",satellite equipment ,
"broadcast, film and audio > video tape recorders (vtr)",video tape recorders (vtr) ,
construction and mining,construction and mining ,
construction and mining > backhoe loaders,backhoe loaders ,
construction and mining > compactors / rollers,compactors / rollers ,
construction and mining > dozers,dozers ,
construction and mining > drilling equipment,drilling equipment ,
construction and mining > dumper trucks,dumper trucks ,
construction and mining > excavators,excavators ,
construction and mining > form work,form work ,
construction and mining > loaders,loaders ,
construction and mining > mining machines & aggregates,mining machines & aggregates ,
construction and mining > motor graders,motor graders ,
construction and mining > other construction machinery,other construction machinery ,
electronics,electronics ,
electronics > inspection equipment,inspection equipment ,
electronics > pcb - cleaning machines,pcb - cleaning machines ,
electronics > pcb - drilling and routing machines,pcb - drilling and routing machines ,
electronics > pcb - pick-and-place machines,pcb - pick-and-place machines ,
electronics > pcb - reflow ovens,pcb - reflow ovens ,
electronics > pcb - screen printing machines,pcb - screen printing machines ,
electronics > pcb - selective soldering,pcb - selective soldering ,
electronics > pcb - test and rework machines,pcb - test and rework machines ,
electronics > pcb - wave soldering,pcb - wave soldering ,
electronics > pcb miscellaneous,pcb miscellaneous ,
electronics > semiconductor - metrology equipment,semiconductor - metrology equipment ,
electronics > semiconductor - test and measurement equipment,semiconductor - test and measurement equipment ,
electronics > semiconductor - wafer equipment,semiconductor - wafer equipment ,
electronics > semiconductor miscellaneous,semiconductor miscellaneous ,
factory equipment - complete production units,factory equipment - complete production units ,
factory equipment - complete production units > food & beverage plant,food & beverage plant ,
factory equipment - complete production units > food processing production lines,food processing production lines ,
factory equipment - complete production units > miscellaneous production plants,miscellaneous production plants ,
factory equipment - complete production units > other energy equipment,other energy equipment ,
factory equipment - complete production units > packaging lines,packaging lines ,
factory equipment - complete production units > power plants,power plants ,
food processing machines,food processing machines ,
"food processing machines > bakery - coating, paning and breading machines","bakery - coating, paning and breading machines ",
"food processing machines > bakery - dough dividers, moulders and sheeting machines","bakery - dough dividers, moulders and sheeting machines ",
food processing machines > bakery - kneading machines,bakery - kneading machines ,
food processing machines > bakery - other machines,bakery - other machines ,
food processing machines > beaters / mixers / tumblers,beaters / mixers / tumblers ,
food processing machines > brine injection machines,brine injection machines ,
food processing machines > butchery -  bowl cutters,butchery -  bowl cutters ,
food processing machines > butchery - cutters / slicers / choppers / portioning machines,butchery - cutters / slicers / choppers / portioning machines ,
food processing machines > butchery - mincers / grinders,butchery - mincers / grinders ,
food processing machines > butchery - slaughterhouses,butchery - slaughterhouses ,
food processing machines > butchery - stuffers,butchery - stuffers ,
food processing machines > candy / sweets machines - miscellaneous machines,candy / sweets machines - miscellaneous machines ,
food processing machines > candy / sweets machines - simple / double twist wrapper,candy / sweets machines - simple / double twist wrapper ,
food processing machines > candy / sweets machines - cutting and wrapping machines,candy / sweets machines - cutting and wrapping machines ,
food processing machines > chocolate machines,chocolate machines ,
food processing machines > coating pans,coating pans ,
food processing machines > coffee roasters,coffee roasters ,
food processing machines > complete biscuit or croissant production lines,complete biscuit or croissant production lines ,
food processing machines > complete bread production lines,complete bread production lines ,
food processing machines > complete pasta or pizza production lines,complete pasta or pizza production lines ,
food processing machines > cookers,cookers ,
"food processing machines > dairy - butter production, wrapping and portioning machines","dairy - butter production, wrapping and portioning machines ",
"food processing machines > dairy - cheese production, wrapping and portioning machines","dairy - cheese production, wrapping and portioning machines ",
food processing machines > dairy - cream separators,dairy - cream separators ,
food processing machines > fryers,fryers ,
food processing machines > miscellaneous (food),miscellaneous (food) ,
food processing machines > ovens - cooking tunnels,ovens - cooking tunnels ,
food processing machines > ovens - multi-deck / stoves / rotary ovens,ovens - multi-deck / stoves / rotary ovens ,
food processing machines > pasteurisers,pasteurisers ,
food processing machines > refrigeration - cold rooms / cold stores,refrigeration - cold rooms / cold stores ,
food processing machines > refrigeration - cooling tunnels,refrigeration - cooling tunnels ,
food processing machines > refrigeration - ice cream machines,refrigeration - ice cream machines ,
food processing machines > skinning / filleting machines,skinning / filleting machines ,
food processing machines > smokehouses,smokehouses ,
"food processing machines > vegetable and fruit cutting, washing and blanching machines","vegetable and fruit cutting, washing and blanching machines ",
