hierarchy,name,description
farm equipment > special crop equipment > flax harvesting equipment,flax harvesting equipment,
farm equipment > special crop equipment > tobacco tools,tobacco tools,
farm equipment > special crop equipment > special crops - other,special crops - other,
farm equipment > potato-growing equipment,potato-growing equipment,
farm equipment > potato-growing equipment > potato harvester,potato harvester,
farm equipment > potato-growing equipment > potato planter,potato planter,
farm equipment > potato-growing equipment > potato digger,potato digger,
farm equipment > potato-growing equipment > hiller,hiller,
farm equipment > potato-growing equipment > rotary hiller,rotary hiller,
farm equipment > potato-growing equipment > haulm topper,haulm topper,
farm equipment > potato-growing equipment > potatoes storage,potatoes storage,
farm equipment > potato-growing equipment > spare parts,spare parts,
farm equipment > potato-growing equipment > other potato-growing equipment,other potato-growing equipment,
farm equipment > sundry equipment,sundry equipment,
"farm equipment > sundry equipment > post driver, post pointer","post driver, post pointer",
farm equipment > sundry equipment > sweepers,sweepers,
farm equipment > sundry equipment > snow blade,snow blade,
farm equipment > sundry equipment > generator,generator,
farm equipment > sundry equipment > compressor,compressor,
farm equipment > sundry equipment > platform,platform,
farm equipment > sundry equipment > backhoe,backhoe,
farm equipment > sundry equipment > precision agriculture,precision agriculture,
farm equipment > sundry equipment > other equipment,other equipment,
farm equipment > spare parts and accessories,spare parts and accessories,
farm equipment > spare parts and accessories > engine,engine,
farm equipment > spare parts and accessories > front linkage,front linkage,
farm equipment > spare parts and accessories > tractor part,tractor part,
farm equipment > spare parts and accessories > harvest equipment part,harvest equipment part,
farm equipment > spare parts and accessories > drill part,drill part,
farm equipment > spare parts and accessories > sprayer part,sprayer part,
farm equipment > spare parts and accessories > soil preparation tool part,soil preparation tool part,
farm equipment > spare parts and accessories > spreader part,spreader part,
farm equipment > spare parts and accessories > cutter part,cutter part,
farm equipment > spare parts and accessories > transport equipment part,transport equipment part,
farm equipment > spare parts and accessories > hydraulic part,hydraulic part,
farm equipment > spare parts and accessories > irrigation equipment part,irrigation equipment part,
farm equipment > spare parts and accessories > haymaking equipment part,haymaking equipment part,
farm equipment > spare parts and accessories > stockbreeding equipment part,stockbreeding equipment part,
farm equipment > spare parts and accessories > handling equipment part,handling equipment part,
farm equipment > spare parts and accessories > potato equipment spare parts,potato equipment spare parts,
farm equipment > spare parts and accessories > wine-growing equipment part,wine-growing equipment part,
farm equipment > spare parts and accessories > forestry equipment part,forestry equipment part,
farm equipment > spare parts and accessories > park equipment spares,park equipment spares,
farm equipment > spare parts and accessories > construction equipment spare parts,construction equipment spare parts,
farm equipment > spare parts and accessories > vehicle part,vehicle part,
farm equipment > spare parts and accessories > antique equipment part,antique equipment part,
farm equipment > spare parts and accessories > parts - other,parts - other,
farm equipment > salvage equipment,salvage equipment,
"farm equipment > wheels, tyres, twin wheels","wheels, tyres, twin wheels",
"farm equipment > wheels, tyres, twin wheels > wheels",wheels,
"farm equipment > wheels, tyres, twin wheels > rims",rims,
"farm equipment > wheels, tyres, twin wheels > farm tires",farm tires,
"farm equipment > wheels, tyres, twin wheels > twin wheels",twin wheels,
"farm equipment > wheels, tyres, twin wheels > wheels, tires, twin wheels - other","wheels, tires, twin wheels - other",
farm equipment > tools,tools,
farm equipment > antique equipment,antique equipment,
farm equipment > antique equipment > antique tractor,antique tractor,
farm equipment > antique equipment > antique equipment - other,antique equipment - other,
farm equipment > antique equipment > antique construction machinery,antique construction machinery,
farm equipment > antique equipment > antique equipment spare parts,antique equipment spare parts,
farm equipment > suv & truck,suv & truck,
farm equipment > quad bike,quad bike,
farm equipment > services,services,
farm equipment > services > professional service - businesses,professional service - businesses,
farm equipment > services > ancillary service – farmers,ancillary service – farmers,
farm equipment > animals and feed,animals and feed,
farm equipment > animals and feed > animals,animals,
farm equipment > animals and feed > straw and forage,straw and forage,
farm equipment > animals and feed > feed,feed,
farm equipment > animals and feed > board,board,
farm equipment > animals and feed > animals and feed - other,animals and feed - other,
farm equipment > jobs/training,jobs/training,
farm equipment > property,property,
farm equipment > property > rent without usufruct or with take-over,rent without usufruct or with take-over,
farm equipment > property > purchase of farms or properties,purchase of farms or properties,
farm equipment > property > sale of farms or properties,sale of farms or properties,
farm equipment > property > businesses,businesses,
farm equipment > property > property - other,property - other,
farm equipment > leisure and cookery,leisure and cookery,
farm equipment > leisure and cookery > hunting,hunting,
farm equipment > leisure and cookery > farm produce,farm produce,
farm equipment > leisure and cookery > countryside lets  (by the season ),countryside lets  (by the season ),
farm equipment > leisure and cookery > leisure & catering - other,leisure & catering - other,
farm equipment > miscellaneous,miscellaneous,
wine growing/wine making equipment,wine growing/wine making equipment,
wine growing/wine making equipment > wine-growing equipment,wine-growing equipment,
wine growing/wine making equipment > wine-growing equipment > vineyard tractor,vineyard tractor,
wine growing/wine making equipment > wine-growing equipment > straddle tractor,straddle tractor,
wine growing/wine making equipment > wine-growing equipment > grape harvesting machine,grape harvesting machine,
wine growing/wine making equipment > wine-growing equipment > sprayer,sprayer,
wine growing/wine making equipment > wine-growing equipment > trimming machine,trimming machine,
wine growing/wine making equipment > wine-growing equipment > soil preparation work,soil preparation work,
wine growing/wine making equipment > wine-growing equipment > leaf stripper,leaf stripper,
wine growing/wine making equipment > wine-growing equipment > trunk cleaner,trunk cleaner,
wine growing/wine making equipment > wine-growing equipment > elevator,elevator,
wine growing/wine making equipment > wine-growing equipment > pre-pruner,pre-pruner,
"wine growing/wine making equipment > wine-growing equipment > cutting equipment (secateurs, air compressor, &c.","cutting equipment (secateurs, air compressor, &c.",
wine growing/wine making equipment > wine-growing equipment > grape harvest trailer,grape harvest trailer,
wine growing/wine making equipment > wine-growing equipment > brush shredder,brush shredder,
wine growing/wine making equipment > wine-growing equipment > spare parts,spare parts,
wine growing/wine making equipment > wine-growing equipment > wine-growing equipment - other,wine-growing equipment - other,
wine growing/wine making equipment > wine equipment,wine equipment,
wine growing/wine making equipment > wine equipment > grape acceptation,grape acceptation,
wine growing/wine making equipment > wine equipment > press,press,
wine growing/wine making equipment > wine equipment > fermentation cellar,fermentation cellar,
wine growing/wine making equipment > wine equipment > fermenting cellar equipment,fermenting cellar equipment,
wine growing/wine making equipment > wine equipment > packaging equipment,packaging equipment,
wine growing/wine making equipment > wine equipment > winegrowing equipment - other,winegrowing equipment - other,
turf and mechanized equipment,turf and mechanized equipment,
turf and mechanized equipment > garden tractor,garden tractor,
turf and mechanized equipment > lawn tractor,lawn tractor,
turf and mechanized equipment > hand mower,hand mower,
turf and mechanized equipment > brush cutter,brush cutter,
turf and mechanized equipment > motor mower,motor mower,
turf and mechanized equipment > garden tillers,garden tillers,
turf and mechanized equipment > mower,mower,
turf and mechanized equipment > salt spreaders,salt spreaders,
turf and mechanized equipment > vegetation shredder,vegetation shredder,
turf and mechanized equipment > chain saw,chain saw,
turf and mechanized equipment > park equipment spares,park equipment spares,
turf and mechanized equipment > other garden equipment,other garden equipment,
